Gene	Operon
SM2011_b21067	1035
SM2011_b21074	1036
SM2011_b21080	1037
SM2011_b21083	1038
SM2011_b21089	1039
SM2011_b21091	1040
SM2011_b21094	1041
SM2011_b21099	1042
SM2011_b21103	1043
SM2011_b21115	1044
SM2011_b21117	1045
SM2011_b21119	1046
SM2011_b21133	1047
SM2011_b21135	1048
SM2011_b21220	1049
SM2011_b21223	1050
SM2011_b21231	1051
SM2011_c02298	123
SM2011_b21236	1053
SM2011_b21238	1054
SM2011_b21242	1055
SM2011_b21245	1056
SM2011_b21252	1057
SM2011_b21257	1058
SM2011_b21260	1059
SM2011_b21268	1060
SM2011_b21272	1061
SM2011_b21277	1062
SM2011_b21284	1063
SM2011_b21285	1064
SM2011_b21292	1065
SM2011_b21298	1066
SM2011_b21299	1067
SM2011_b21302	1068
SM2011_b21144	1069
SM2011_b21148	1070
SM2011_b21156	1071
SM2011_b21157	1072
SM2011_b21167	1073
SM2011_b21171	1074
SM2011_b21175	1075
SM2011_b21177	1076
SM2011_b21180	1077
SM2011_b21181	1078
SM2011_b21188	1079
SM2011_b21196	1080
SM2011_b21201	1081
SM2011_b21208	1082
SM2011_b21210	1083
SM2011_b21667	1084
SM2011_b21313	1085
SM2011_b21316	1086
SM2011_b21319	1087
SM2011_b21329	1088
SM2011_b21332	1089
SM2011_b21337	1090
SM2011_b21345	1091
SM2011_b21349	1092
SM2011_b21352	1093
SM2011_b21354	1094
SM2011_b21359	1095
SM2011_b21365	1096
SM2011_b21669	1097
SM2011_b21376	1098
SM2011_b21382	1099
SM2011_b21526	1100
SM2011_b21670	1101
SM2011_b21533	1102
SM2011_b21537	1103
SM2011_b21541	1104
SM2011_b21546	1105
SM2011_b21547	1106
SM2011_b21549	1107
SM2011_b21558	1108
SM2011_b21562	1109
SM2011_b21564	1110
SM2011_b22023	1111
SM2011_b21570	1112
SM2011_b21571	1113
SM2011_b21576	1114
SM2011_b21581	1115
SM2011_b21588	1116
SM2011_b21594	1117
SM2011_b21597	1118
SM2011_b20924	1119
SM2011_b20930	1120
SM2011_b20933	1121
SM2011_b20936	1122
SM2011_b20940	1123
SM2011_b20946	1124
SM2011_b20950	1125
SM2011_b20951	1126
SM2011_b20954	1127
SM2011_b20972	1128
SM2011_b20977	1129
SM2011_b20980	1130
SM2011_b20984	1131
SM2011_b20990	1132
SM2011_b20997	1133
SM2011_b21003	1134
SM2011_b21008	1135
SM2011_b21010	1136
SM2011_b20847	1137
SM2011_b20853	1138
SM2011_b20856	1139
SM2011_b20860	1140
SM2011_b20876	1141
SM2011_b20882	1142
SM2011_b20885	1143
SM2011_b20886	1144
SM2011_b20892	1145
SM2011_b20894	1146
SM2011_b20896	1147
SM2011_b20903	1148
SM2011_b20906	1149
SM2011_b21680	1150
SM2011_b20910	1151
SM2011_b20912	1152
SM2011_b20913	1153
SM2011_c02298	123
SM2011_b20922	1155
SM2011_b21395	1156
SM2011_b21683	1157
SM2011_b21404	1158
SM2011_b21406	1159
SM2011_b21413	1160
SM2011_b21416	1161
SM2011_b21684	1162
SM2011_b21427	1163
SM2011_b21430	1164
SM2011_b21432	1165
SM2011_b21685	1166
SM2011_b21438	1167
SM2011_b21442	1168
SM2011_b21446	1169
SM2011_b21455	1170
SM2011_b21463	1171
SM2011_b21466	1172
SM2011_b21470	1173
SM2011_b21473	1174
SM2011_b21475	1175
SM2011_b21481	1176
SM2011_b21686	1177
SM2011_b21487	1178
SM2011_b21493	1179
SM2011_b21495	1180
SM2011_b21497	1181
SM2011_b21502	1182
SM2011_b21506	1183
SM2011_b21509	1184
SM2011_b21513	1185
SM2011_b21514	1186
SM2011_b21518	1187
SM2011_b21519	1188
SM2011_b21523	1189
SM2011_b20652	1190
SM2011_b20656	1191
SM2011_b20659	1192
SM2011_b20663	1193
SM2011_b20667	1194
SM2011_b20668	1195
SM2011_b20673	1196
SM2011_b20678	1197
SM2011_b20681	1198
SM2011_b20684	1199
SM2011_b20686	1200
SM2011_b20696	1201
SM2011_b20699	1202
SM2011_b20701	1203
SM2011_b20708	1204
SM2011_b20713	1205
SM2011_b20718	1206
SM2011_b20722	1207
SM2011_b20724	1208
SM2011_b20749	1209
SM2011_b20753	1210
SM2011_b20755	1211
SM2011_b20759	1212
SM2011_b20768	1213
SM2011_b20770	1214
SM2011_c00580	230
SM2011_b20775	1216
SM2011_b20787	1217
SM2011_b20573	1218
SM2011_b20579	1219
SM2011_b20583	1220
SM2011_b20587	1221
SM2011_b20593	1222
SM2011_b20596	1223
SM2011_b20598	1224
SM2011_b20604	1225
SM2011_b20608	1226
SM2011_b20609	1227
SM2011_b20612	1228
SM2011_b20615	1229
SM2011_b20617	1230
SM2011_b20622	1231
SM2011_b20623	1232
SM2011_b20633	1233
SM2011_b21706	1234
SM2011_b21631	1235
SM2011_b21640	1236
SM2011_b21646	1237
SM2011_b21649	1238
